sess_num;sess_type;n_trials;seq_keys;seq_type;sequence_string;seq_train;seq_color;combination;seq_order;paced;instruct;run;block
1;fmri;3;1 2 3 4;type1;1 2 3 - 2 4 - 1 - 3 4 - 1 2 4;trained;#f58231;[('trained', 2), ('trained', 1), ('trained', 0)];1;1;0;2;4
1;fmri;3;1 2 3 4;type1;1 2 3 - 3 4 - 1 - 2 4 - 1 3 4;trained;#e6194b;[('trained', 2), ('trained', 1), ('trained', 0)];1;1;0;2;4
1;fmri;2;1 2 3 4;type1;1 2 3 - 2 4 - 1 - 3 4 - 1 2 4;trained;#f58231;[('trained', 1), ('trained', 2), ('trained', 0)];1;1;1;3;1
1;fmri;2;1 2 3 4;type1;2 3 4 - 1 3 - 2 - 3 4 - 1 2 3;trained;#ffe119;[('trained', 1), ('trained', 2), ('trained', 0)];1;1;0;3;1
1;fmri;2;1 2 3 4;type1;1 2 3 - 3 4 - 1 - 2 4 - 1 3 4;trained;#e6194b;[('trained', 1), ('trained', 2), ('trained', 0)];1;1;0;3;1
1;fmri;2;1 2 3 4;type1;1 2 3 - 3 4 - 1 - 2 4 - 1 3 4;trained;#e6194b;[('trained', 0), ('trained', 1), ('trained', 2)];1;1;0;3;2
1;fmri;2;1 2 3 4;type1;1 2 3 - 2 4 - 1 - 3 4 - 1 2 4;trained;#f58231;[('trained', 0), ('trained', 1), ('trained', 2)];1;1;0;3;2
1;fmri;2;1 2 3 4;type1;2 3 4 - 1 3 - 2 - 3 4 - 1 2 3;trained;#ffe119;[('trained', 0), ('trained', 1), ('trained', 2)];1;1;0;3;2
1;fmri;2;1 2 3 4;type1;1 2 3 - 3 4 - 1 - 2 4 - 1 3 4;trained;#e6194b;[('trained', 0), ('trained', 2), ('trained', 1)];1;1;0;3;3
1;fmri;2;1 2 3 4;type1;2 3 4 - 1 3 - 2 - 3 4 - 1 2 3;trained;#ffe119;[('trained', 0), ('trained', 2), ('trained', 1)];1;1;0;3;3
1;fmri;2;1 2 3 4;type1;1 2 3 - 2 4 - 1 - 3 4 - 1 2 4;trained;#f58231;[('trained', 0), ('trained', 2), ('trained', 1)];1;1;0;3;3
1;fmri;3;1 2 3 4;type1;2 3 4 - 1 3 - 2 - 3 4 - 1 2 3;trained;#ffe119;[('trained', 2), ('trained', 1), ('trained', 0)];1;1;0;3;4
1;fmri;3;1 2 3 4;type1;1 2 3 - 2 4 - 1 - 3 4 - 1 2 4;trained;#f58231;[('trained', 2), ('trained', 1), ('trained', 0)];1;1;0;3;4
1;fmri;3;1 2 3 4;type1;1 2 3 - 3 4 - 1 - 2 4 - 1 3 4;trained;#e6194b;[('trained', 2), ('trained', 1), ('trained', 0)];1;1;0;3;4
1;fmri;2;1 2 3 4;type1;2 3 4 - 1 3 - 2 - 3 4 - 1 2 3;trained;#ffe119;[('trained', 2), ('trained', 0), ('trained', 1)];1;1;1;4;1
1;fmri;2;1 2 3 4;type1;1 2 3 - 3 4 - 1 - 2 4 - 1 3 4;trained;#e6194b;[('trained', 2), ('trained', 0), ('trained', 1)];1;1;0;4;1
1;fmri;2;1 2 3 4;type1;1 2 3 - 2 4 - 1 - 3 4 - 1 2 4;trained;#f58231;[('trained', 2), ('trained', 0), ('trained', 1)];1;1;0;4;1
1;fmri;2;1 2 3 4;type1;1 2 3 - 2 4 - 1 - 3 4 - 1 2 4;trained;#f58231;[('trained', 1), ('trained', 2), ('trained', 0)];1;1;0;4;2
1;fmri;2;1 2 3 4;type1;2 3 4 - 1 3 - 2 - 3 4 - 1 2 3;trained;#ffe119;[('trained', 1), ('trained', 2), ('trained', 0)];1;1;0;4;2
1;fmri;2;1 2 3 4;type1;1 2 3 - 3 4 - 1 - 2 4 - 1 3 4;trained;#e6194b;[('trained', 1), ('trained', 2), ('trained', 0)];1;1;0;4;2
1;fmri;2;1 2 3 4;type1;1 2 3 - 3 4 - 1 - 2 4 - 1 3 4;trained;#e6194b;[('trained', 0), ('trained', 1), ('trained', 2)];1;1;0;4;3
1;fmri;2;1 2 3 4;type1;1 2 3 - 2 4 - 1 - 3 4 - 1 2 4;trained;#f58231;[('trained', 0), ('trained', 1), ('trained', 2)];1;1;0;4;3
1;fmri;2;1 2 3 4;type1;2 3 4 - 1 3 - 2 - 3 4 - 1 2 3;trained;#ffe119;[('trained', 0), ('trained', 1), ('trained', 2)];1;1;0;4;3
1;fmri;3;1 2 3 4;type1;1 2 3 - 2 4 - 1 - 3 4 - 1 2 4;trained;#f58231;[('trained', 1), ('trained', 2), ('trained', 0)];1;1;0;4;4
1;fmri;3;1 2 3 4;type1;2 3 4 - 1 3 - 2 - 3 4 - 1 2 3;trained;#ffe119;[('trained', 1), ('trained', 2), ('trained', 0)];1;1;0;4;4
1;fmri;3;1 2 3 4;type1;1 2 3 - 3 4 - 1 - 2 4 - 1 3 4;trained;#e6194b;[('trained', 1), ('trained', 2), ('trained', 0)];1;1;0;4;4
